,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,label
116,0.040776699029126215,0.16893203883495145,0.0,0.0,0.07378640776699029,0.6446601941747573,0.07184466019417475,0.0,2
117,0.059282371294851796,0.1809672386895476,0.0,0.0,0.11388455538221529,0.6458658346333853,0.0,0.0,0
118,0.04964539007092199,0.15602836879432624,0.0,0.0,0.07092198581560284,0.723404255319149,0.0,0.0,0
119,0.03945371775417299,0.21396054628224584,0.006069802731411229,0.0015174506828528073,0.17602427921092564,0.5629742033383915,0.0,0.0,1
120,0.0486322188449848,0.1945288753799392,0.00303951367781155,0.0,0.12462006079027356,0.6291793313069909,0.0,0.0,2
121,0.10107197549770292,0.19754977029096477,0.2894333843797856,0.4119448698315467,0.0,0.0,0.0,0.0,1
122,0.036303630363036306,0.14521452145214522,0.44884488448844884,0.3696369636963696,0.0,0.0,0.0,0.0,1
123,0.04838709677419355,0.19193548387096773,0.0,0.0,0.13870967741935483,0.6209677419354839,0.0,0.0,2
124,0.04225352112676056,0.2140845070422535,0.008450704225352112,0.02535211267605634,0.19436619718309858,0.5154929577464789,0.0,0.0,2
125,0.05578800557880056,0.15341701534170155,0.0,0.0,0.058577405857740586,0.6206415620641562,0.11157601115760112,0.0,2
126,0.027777777777777776,0.21031746031746032,0.0,0.0,0.15873015873015872,0.6031746031746031,0.0,0.0,0
127,0.0011337868480725624,0.12585034013605442,0.626984126984127,0.24603174603174602,0.0,0.0,0.0,0.0,1
128,0.0,0.28776185226019846,0.3980154355016538,0.31422271223814774,0.0,0.0,0.0,0.0,1
129,0.02931937172774869,0.17382198952879582,0.23979057591623038,0.5570680628272251,0.0,0.0,0.0,0.0,1
130,0.006067961165048544,0.07888349514563107,0.4077669902912621,0.35315533980582525,0.154126213592233,0.0,0.0,0.0,1
131,0.0,0.15481171548117154,0.8158995815899581,0.029288702928870293,0.0,0.0,0.0,0.0,1
132,0.0,0.140625,0.640625,0.21875,0.0,0.0,0.0,0.0,1
133,0.001145475372279496,0.2016036655211913,0.5773195876288659,0.21993127147766323,0.0,0.0,0.0,0.0,1
134,0.0,0.16704805491990846,0.7688787185354691,0.06407322654462243,0.0,0.0,0.0,0.0,1
135,0.0,0.23770491803278687,0.5122950819672131,0.25,0.0,0.0,0.0,0.0,1
136,0.017699115044247787,0.13864306784660768,0.5029498525073747,0.3407079646017699,0.0,0.0,0.0,0.0,1
137,0.0,0.09534368070953436,0.5842572062084257,0.3203991130820399,0.0,0.0,0.0,0.0,1
138,0.02289156626506024,0.1855421686746988,0.1927710843373494,0.5987951807228916,0.0,0.0,0.0,0.0,1
139,0.2857142857142857,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,1
140,0.033121019108280254,0.16305732484076432,0.12229299363057325,0.6815286624203821,0.0,0.0,0.0,0.0,1
141,0.05321507760532151,0.13082039911308205,0.0975609756097561,0.7184035476718403,0.0,0.0,0.0,0.0,2
142,0.039014373716632446,0.15605749486652978,0.11704312114989733,0.6878850102669405,0.0,0.0,0.0,0.0,1
143,0.05561497326203209,0.12620320855614972,0.17326203208556148,0.6449197860962567,0.0,0.0,0.0,0.0,2
144,0.0,0.008,0.088,0.568,0.336,0.0,0.0,0.0,2
145,0.022613065326633167,0.18090452261306533,0.0,0.0,0.02763819095477387,0.7638190954773869,0.005025125628140704,0.0,1
146,0.009280742459396751,0.22621809744779584,0.0,0.0,0.4361948955916473,0.32830626450116007,0.0,0.0,1
147,0.03244495944380069,0.17265353418308227,0.0,0.0,0.04055619930475087,0.7508690614136733,0.0034762456546929316,0.0,1
148,0.018036072144288578,0.20641282565130262,0.0,0.0,0.16633266533066132,0.6092184368737475,0.0,0.0,1
149,0.03325942350332594,0.17738359201773837,0.0,0.0,0.08647450110864745,0.7028824833702882,0.0,0.0,1
150,0.03247863247863248,0.17094017094017094,0.13504273504273503,0.6615384615384615,0.0,0.0,0.0,0.0,2
151,0.03773584905660377,0.1509433962264151,0.0,0.0,0.008385744234800839,0.7274633123689728,0.07547169811320754,0.0,1
152,0.05194805194805195,0.1525974025974026,0.0,0.0,0.048701298701298704,0.7467532467532467,0.0,0.0,2
153,0.043209876543209874,0.15432098765432098,0.0,0.0,0.043209876543209874,0.5246913580246914,0.2345679012345679,0.0,1
154,0.025974025974025976,0.19109461966604824,0.0,0.0,0.08348794063079777,0.699443413729128,0.0,0.0,1
155,0.04371584699453552,0.1448087431693989,0.0,0.0,0.01912568306010929,0.7622950819672131,0.030054644808743168,0.0,1
156,0.03202846975088968,0.19572953736654805,0.25622775800711745,0.5160142348754448,0.0,0.0,0.0,0.0,1
157,0.0,0.01488833746898263,0.6054590570719603,0.3746898263027295,0.004962779156327543,0.0,0.0,0.0,0
158,0.07848837209302326,0.08430232558139535,0.12209302325581395,0.7151162790697675,0.0,0.0,0.0,0.0,1
159,0.0056179775280898875,0.07865168539325842,0.4101123595505618,0.5,0.0056179775280898875,0.0,0.0,0.0,1
160,0.09666666666666666,0.17666666666666667,0.2633333333333333,0.4633333333333333,0.0,0.0,0.0,0.0,1
161,0.02570093457943925,0.1588785046728972,0.20093457943925233,0.6144859813084113,0.0,0.0,0.0,0.0,1
162,0.0,0.24318429661941113,0.7470010905125409,0.009814612868047983,0.0,0.0,0.0,0.0,1
163,0.0,0.32342007434944237,0.6765799256505576,0.0,0.0,0.0,0.0,0.0,2
164,0.0,0.27079303675048355,0.7292069632495164,0.0,0.0,0.0,0.0,0.0,1
165,0.00964630225080386,0.2057877813504823,0.5852090032154341,0.19935691318327975,0.0,0.0,0.0,0.0,2
166,0.0,0.303886925795053,0.696113074204947,0.0,0.0,0.0,0.0,0.0,1
167,0.0,0.3385518590998043,0.6614481409001957,0.0,0.0,0.0,0.0,0.0,1
168,0.0,0.2962962962962963,0.6358024691358025,0.06790123456790123,0.0,0.0,0.0,0.0,2
169,0.0,0.24,0.7566666666666667,0.0033333333333333335,0.0,0.0,0.0,0.0,1
170,0.05907172995780591,0.12236286919831224,0.6075949367088608,0.2109704641350211,0.0,0.0,0.0,0.0,2
171,0.11070110701107011,0.16236162361623616,0.2829028290282903,0.4440344403444034,0.0,0.0,0.0,0.0,1
172,0.060498220640569395,0.2188612099644128,0.4377224199288256,0.28291814946619215,0.0,0.0,0.0,0.0,1
173,0.024193548387096774,0.13306451612903225,0.4032258064516129,0.43951612903225806,0.0,0.0,0.0,0.0,1
174,0.03264604810996564,0.11512027491408934,0.3848797250859107,0.46735395189003437,0.0,0.0,0.0,0.0,1
175,0.018518518518518517,0.16049382716049382,0.5987654320987654,0.2222222222222222,0.0,0.0,0.0,0.0,1
176,0.045816733067729085,0.099601593625498,0.3645418326693227,0.4900398406374502,0.0,0.0,0.0,0.0,1
177,0.030303030303030304,0.11255411255411256,0.41883116883116883,0.4383116883116883,0.0,0.0,0.0,0.0,1
178,0.0449438202247191,0.0898876404494382,0.3707865168539326,0.4943820224719101,0.0,0.0,0.0,0.0,1
179,0.02389937106918239,0.10817610062893082,0.42138364779874216,0.44654088050314467,0.0,0.0,0.0,0.0,1
180,0.02403846153846154,0.09134615384615384,0.2956730769230769,0.5889423076923077,0.0,0.0,0.0,0.0,2
181,0.038680318543799774,0.1217292377701934,0.4243458475540387,0.4152445961319681,0.0,0.0,0.0,0.0,1
182,0.09339975093399751,0.199252801992528,0.3150684931506849,0.39227895392278955,0.0,0.0,0.0,0.0,1
183,0.06321839080459771,0.08045977011494253,0.39655172413793105,0.45977011494252873,0.0,0.0,0.0,0.0,0
184,0.0,0.3629807692307692,0.4639423076923077,0.17307692307692307,0.0,0.0,0.0,0.0,1
185,0.0,0.3385416666666667,0.6197916666666666,0.041666666666666664,0.0,0.0,0.0,0.0,1
186,0.0,0.3908174692049272,0.49384098544232924,0.11534154535274356,0.0,0.0,0.0,0.0,1
187,0.009578544061302681,0.3946360153256705,0.39846743295019155,0.19731800766283525,0.0,0.0,0.0,0.0,1
188,0.04592901878914405,0.3653444676409186,0.2776617954070981,0.31106471816283926,0.0,0.0,0.0,0.0,1
189,0.06790123456790123,0.30864197530864196,0.30864197530864196,0.3148148148148148,0.0,0.0,0.0,0.0,2
